periodyear,res16p,emp,wages,wagelt5k,wage5to10k,wage10to20k,wage20to50k,wage50kplus,privatesector,stategovt,localgovt,female,male,age45p,age50p,empQ1,empQ2,empQ3,empQ4,fourq,newhires,uiclaimants,prevagri,prevmine,prevutil,prevconstr,prevmanu,prevtrade,prevtrans,previnfo,prevfin,prevrealest,prevprof,prevmanag,prevadminwaste,prevedu,prevhealth,prevarts,prevaccom,prevstate,agiaexp,community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id
2006,62,46,621085.00,15,10,11,7,3,8,0,38,17,29,16,10,31,36,40,30,23,27,26,0,3,0,14,0,8,3,4,0,0,0,0,1,1,5,2,8,3,46,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2007,57,45,596425.00,16,8,10,9,2,9,5,31,17,28,15,9,34,33,38,39,24,27,21,0,2,0,12,1,5,4,4,0,7,2,0,2,1,6,2,12,12,48,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2008,59,44,695710.00,17,6,8,10,3,10,3,31,17,27,17,11,32,38,40,32,22,22,18,0,4,0,12,1,6,4,4,0,8,1,0,3,1,4,1,9,15,49,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2009,54,43,638533.00,20,5,6,9,3,6,0,37,14,29,19,13,31,39,30,32,23,15,18,0,3,0,11,2,5,3,4,0,5,1,0,1,1,2,1,9,13,46,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2010,60,47,827516.00,19,6,4,14,4,11,0,36,16,31,21,15,31,43,43,29,24,21,20,0,4,0,10,1,3,4,4,0,0,2,0,5,0,4,2,10,11,51,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2011,58,44,702295.00,18,9,5,8,4,9,0,35,15,29,19,16,30,35,36,31,24,14,19,0,2,0,9,1,3,4,5,0,2,2,0,4,0,5,1,7,12,48,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2012,64,49,736140.00,19,10,8,8,4,12,1,36,17,32,21,18,32,43,41,33,24,0,18,0,3,0,13,2,3,5,3,0,2,3,1,5,0,8,1,7,8,,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2013,53,42,831888.00,8,12,9,9,4,20,0,22,17,25,16,15,30,36,39,37,25,26,17,0,3,0,6,1,1,2,3,0,1,1,2,4,0,18,1,7,3,,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2014,46,36,528163.00,18,4,7,4,3,6,0,30,13,23,13,11,23,31,32,22,18,10,18,0,2,0,4,2,0,2,2,0,1,1,1,2,0,13,1,7,1,,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2015,54,44,568612.00,17,10,8,7,2,10,1,33,16,28,16,13,32,34,40,33,26,13,8,0,2,0,2,2,0,2,2,0,1,1,1,3,0,14,1,7,1,,Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699
2016,3819,2586,120763428.57,312,172,245,841,1016,1830,264,492,1327,1259,929,691,2213,2295,2256,2188,1843,817,287,12,65,29,170,102,827,470,92,66,396,57,43,148,11,1282,104,199,442,,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2000,3404,2436,69096966.07,449,221,337,1040,389,1730,255,451,1234,1202,684,405,1981,2087,2079,2022,1569,1056,255,7,88,34,306,163,938,488,139,171,173,75,0,248,13,1047,96,226,477,,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2001,3413,2495,74044239.00,433,231,321,1039,471,1763,270,462,1259,1236,696,417,2120,2166,2150,2080,1704,994,233,4,98,41,294,148,928,502,133,162,202,76,1,254,8,1133,99,235,447,,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2002,3520,2586,81189452.00,408,239,312,1089,538,1806,272,508,1324,1262,778,473,2155,2276,2254,2161,1739,940,317,4,89,47,308,154,955,520,135,164,233,72,0,234,9,1266,113,243,469,,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2003,3623,2686,88609454.00,411,244,325,1073,633,1926,276,484,1360,1326,858,524,2276,2330,2337,2277,1857,987,324,5,86,42,319,131,987,514,129,163,275,84,0,198,16,1332,113,256,491,,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2004,3643,2734,94314212.00,447,222,302,1078,685,1928,273,533,1391,1343,883,553,2350,2370,2353,2277,1883,1016,318,5,81,42,281,120,986,493,116,146,323,80,0,204,21,1379,112,287,501,1903,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2005,3709,2717,87557636.00,433,226,366,1065,627,1940,269,508,1392,1325,897,580,2328,1657,2346,2238,1275,918,290,5,78,41,272,143,969,491,114,137,355,86,2,189,22,1391,114,288,496,1943,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2006,3671,2667,102507832.00,365,191,295,1005,811,1884,278,505,1370,1297,923,605,2242,2349,2350,2226,1853,947,284,2,75,33,265,137,917,498,108,123,328,87,2,204,22,1335,144,227,496,1882,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2007,3597,2628,102454734.00,386,213,240,962,827,1855,291,482,1328,1300,901,603,2220,2291,2288,2181,1831,926,298,2,69,32,258,134,881,510,108,130,315,81,0,194,19,1273,133,205,515,1804,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2008,3640,2603,104270497.00,379,172,278,894,880,1831,291,481,1358,1245,951,652,2209,2303,2300,2178,1861,823,360,2,64,37,241,144,856,536,110,110,287,71,1,202,19,1255,144,197,522,1777,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2009,3731,2609,106888546.00,355,200,270,890,894,1835,275,499,1350,1259,980,665,2226,2280,2272,2206,1836,822,445,3,77,36,220,154,814,555,106,115,301,75,2,213,18,1266,136,186,499,1867,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2010,3816,2716,112652335.00,390,181,283,892,970,1901,276,539,1405,1311,1013,690,2264,2372,2393,2300,1913,911,485,4,96,35,190,142,798,535,96,117,306,73,1,238,17,1278,136,146,493,1915,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2011,3871,2751,116227625.00,379,198,277,903,994,1930,282,539,1423,1328,1018,714,2319,2380,2409,2281,1890,878,481,9,90,30,201,154,773,520,98,124,325,70,0,232,17,1265,130,178,498,2038,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2012,3808,2729,120209118.00,352,200,250,880,1047,1944,285,500,1410,1319,982,692,2355,2423,2398,2262,1936,0,463,9,87,32,152,138,781,500,90,105,328,75,1,186,14,1313,120,165,480,,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2013,3849,2740,123103989.00,373,166,270,859,1073,1933,295,512,1420,1320,1004,743,2359,2373,2394,2322,1934,885,450,7,80,37,176,126,812,499,89,110,336,77,20,167,9,1337,130,143,465,,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2014,3869,2745,120770020.00,354,201,265,908,1017,1960,293,492,1418,1327,997,744,2349,2377,2379,2227,1847,930,384,10,90,35,176,123,866,503,90,99,358,71,37,170,7,1330,135,179,462,,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2015,3861,2677,122267077.00,359,171,242,840,1065,1876,287,514,1384,1293,979,735,2340,2322,2296,2231,1900,890,323,13,89,32,171,128,844,471,96,93,351,68,35,173,7,1285,116,175,443,,Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11
2016,17,11,665373.78,0,1,1,2,7,9,0,2,4,7,7,5,10,10,11,11,10,3,1,0,0,1,1,2,1,1,0,0,0,8,0,1,0,1,0,5,1,,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2000,45,25,580487.26,6,3,5,8,3,18,1,6,9,16,6,5,17,23,19,19,14,7,3,0,0,4,9,1,4,7,0,0,0,6,0,4,0,1,2,11,4,,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2001,43,25,517626.00,9,3,4,6,3,20,0,5,10,15,7,6,18,21,17,18,13,12,2,0,1,3,6,1,5,6,0,0,0,7,0,3,0,1,3,12,1,,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2002,37,26,645066.00,6,1,8,6,5,19,0,7,12,14,9,7,20,22,18,15,13,18,1,0,0,2,11,1,2,4,0,0,0,8,0,2,0,3,1,7,1,,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2003,37,27,591236.00,10,2,3,8,4,19,0,8,10,17,8,5,16,21,21,19,13,20,7,0,0,3,12,2,1,8,1,0,1,6,0,6,0,3,1,12,0,,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2004,31,16,382521.00,3,2,2,7,2,12,0,4,5,11,5,3,12,15,13,15,11,7,7,0,1,3,9,1,1,7,2,0,1,5,0,2,0,4,1,5,0,21,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2005,33,16,419652.00,4,2,2,5,3,14,0,2,6,10,6,3,15,14,11,12,10,7,3,0,0,2,7,1,3,9,2,0,0,4,0,1,0,4,1,5,0,18,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2006,28,13,306589.00,4,3,2,0,4,10,0,3,6,7,8,5,10,12,11,9,7,3,2,0,0,1,5,0,1,6,3,0,0,2,0,0,0,3,1,5,0,14,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2007,30,11,317430.00,3,2,0,2,4,8,0,3,2,9,7,5,7,9,10,8,5,7,3,0,0,1,3,1,1,7,2,0,2,3,0,0,0,2,1,4,1,13,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2008,21,6,226392.00,1,1,0,1,3,6,0,0,2,4,5,4,6,6,6,6,6,5,5,0,1,0,1,1,0,6,1,0,0,5,0,2,0,0,1,6,0,9,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2009,20,8,353565.00,1,1,0,2,4,8,0,0,3,5,7,7,7,8,8,8,7,1,2,0,1,0,2,0,0,6,2,0,0,6,0,2,0,0,0,6,0,9,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2010,20,11,350038.00,0,2,4,2,3,10,0,1,7,4,8,7,6,8,9,9,5,3,4,0,1,0,2,0,0,6,1,0,0,6,0,2,0,0,0,6,0,8,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2011,23,12,488076.00,0,1,2,5,4,11,0,1,6,6,7,7,11,12,11,10,9,6,5,0,2,1,2,1,1,8,1,1,1,7,0,3,0,1,0,6,1,11,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2012,22,13,534822.00,2,0,1,6,4,10,0,3,5,8,9,8,11,11,12,11,10,0,2,0,2,2,1,0,1,6,1,0,0,6,0,2,0,1,0,5,1,,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2013,22,12,492454.00,0,1,4,3,4,9,0,3,5,7,7,6,11,12,11,8,8,8,2,0,2,1,1,0,1,0,1,0,0,8,0,2,0,0,1,3,2,,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2014,23,13,594491.00,0,2,2,3,6,10,0,3,4,9,8,7,12,12,13,11,11,4,2,0,2,2,1,1,1,0,0,0,0,9,0,2,0,0,1,5,1,,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2015,19,13,623361.00,3,1,0,2,7,9,0,4,4,9,9,7,11,10,10,12,9,7,1,0,1,1,2,2,1,1,0,0,0,8,0,1,0,1,0,6,1,,Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee
2016,18,12,144299.31,5,2,2,3,0,2,0,10,5,7,6,5,9,5,7,11,4,5,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,5,0,2,1,,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2000,21,14,138895.20,7,1,3,3,0,14,0,0,5,9,5,3,7,9,11,9,5,9,2,0,0,6,5,0,1,0,1,0,8,0,0,0,0,0,0,2,3,,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2001,29,13,119785.00,6,3,2,2,0,13,0,0,6,7,4,2,6,9,10,8,4,9,6,0,0,5,5,1,0,1,3,0,9,1,0,3,0,8,2,6,2,,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2002,29,15,110313.00,10,2,1,2,0,12,1,2,4,11,4,3,6,10,12,8,5,9,4,0,0,1,6,0,0,1,2,0,8,0,0,3,0,6,1,7,1,,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2003,23,10,153816.00,5,0,1,4,0,5,1,4,5,5,4,3,5,7,7,9,5,4,3,0,0,2,5,0,1,1,2,0,7,0,0,2,0,7,2,5,1,,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2004,26,17,129045.00,8,5,3,1,0,9,1,7,7,10,7,5,12,15,10,9,5,11,5,0,0,2,8,0,0,0,2,0,4,1,0,3,0,9,1,5,1,17,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2005,26,9,61045.00,6,1,1,1,0,7,1,1,4,5,5,4,3,5,7,6,3,6,7,0,0,1,9,0,0,0,3,0,0,0,0,1,0,6,1,7,1,14,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2006,23,8,51666.00,5,2,0,1,0,6,1,1,4,4,3,2,4,3,4,4,1,4,0,0,0,0,8,0,0,0,2,0,0,0,0,2,0,5,0,6,1,12,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2007,21,7,51159.00,5,0,1,1,0,7,0,0,2,5,2,2,5,5,3,4,2,3,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,3,0,6,1,11,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2008,18,10,50784.00,8,0,2,0,0,4,1,5,5,5,6,3,1,3,7,8,1,9,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,3,0,5,2,12,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2009,24,13,96399.00,8,2,2,1,0,5,0,8,6,7,4,3,12,11,8,5,3,10,5,0,0,0,1,0,1,0,4,1,1,0,0,1,0,9,0,6,5,17,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2010,24,11,126750.00,5,2,1,3,0,8,0,3,5,6,4,2,6,6,11,8,5,5,5,0,0,0,0,0,0,0,4,0,0,2,0,1,0,6,0,3,3,13,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2011,25,14,171763.00,2,7,2,3,0,5,0,9,6,8,5,2,5,7,11,12,4,11,6,0,0,0,0,0,0,0,2,0,0,2,0,1,0,4,0,4,4,15,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2012,22,6,71620.00,2,2,0,2,0,2,2,2,3,3,3,2,3,4,6,4,3,0,4,0,0,0,0,0,0,0,2,0,0,2,0,2,0,3,0,3,3,,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2013,20,9,99705.00,5,0,2,2,0,5,1,3,5,4,4,3,4,3,7,7,2,6,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,5,3,,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
2014,21,9,100852.00,1,5,1,2,0,4,0,5,4,5,2,1,5,8,9,5,2,5,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,8,0,5,3,,Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3
